"iuid","post_datetime","user_agent","birth_yyyymm","post_code","pref_name","pref_code","city_name","city_code","gender_code","gross_audience","is_optout","media_tag","year","month","day"
"34809315-F995-4615-9E35-A93B461971D7","2019-11-15 07:06:53.000","Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","198412","0010000","北海道","01","札幌市北区","01102","1","1","false","cx-ios","2019","11","15"
"e3b2tgxsjl0719726122","2019-11-15 22:06:09.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","197307","0010000","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"3adj1bp8v3c266124559","2019-11-15 07:20:52.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","198804","0010010","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"5n8zvdecicg872483355","2019-11-15 11:46:25.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","197610","0010011","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"faey6wl6k88814165928","2019-11-15 22:10:22.000","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","197908","0010012","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"0B737F2E-93F5-4A94-844D-47CBBDD605EA","2019-11-15 02:07:23.000","Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/13.1.3","200209","0010013","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"edb4115f-ce6c-4078-8da3-6c152b96b900","2019-11-15 12:39:51.000","Dalvik/2.1.0 (Linux; U; Android 9; SO-01K Build/47.2.B.5.38)","198206","0010013","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"2a9dcb6b-4c16-447c-9bbd-8ede97ba926c","2019-11-15 07:22:19.000","Dalvik/2.1.0 (Linux; U; Android 8.1.0; SC-02L Build/M1AJQ)","197511","0010013","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"f21a99e1-576f-447f-b6da-d61aebb77f3a","2019-11-15 15:30:49.000","Dalvik/2.1.0 (Linux; U; Android 5.1.1; d-02H Build/HUAWEIM2-802LD)","197511","0010013","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"ee3xy1rs2vlin8852416","2019-11-15 19:07:35.000","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","196503","0010013","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"5fd1a8c6-59e5-422e-8454-3769aced99b3","2019-11-15 09:06:22.000","Dalvik/2.1.0 (Linux; U; Android 5.1.1; AFTT Build/LVY48F)","199507","0010015","北海道","01","札幌市北区","01102","1","1","false","tver-fireos","2019","11","15"
"41DBBF63-66AC-4CCE-BB56-C4E38292DB92","2019-11-15 08:33:11.000","Mozilla/5.0 (iPad; CPU OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/13.1.3","199403","0010019","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"206F2741-C0B4-4ED3-B7BD-ABCF660C7904","2019-11-15 10:03:00.000","Mozilla/5.0 (iPad; CPU OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 tbsplayer-ios","199409","0010019","北海道","01","札幌市北区","01102","1","1","false","tbs-ios","2019","11","15"
"n60fsdz97ilin8322916","2019-11-15 07:07:48.000","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.2 Safari/605.1.15","199202","0010021","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"m20whebhqfg423151768","2019-11-15 20:46:24.000","Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0","200002","0010022","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"d9d0732a-2bf4-4f9e-99dc-4b0a8a4f749a","2019-11-15 20:29:07.000","Dalvik/2.1.0 (Linux; U; Android 9; SCV45 Build/PPR1.180610.011)","197508","0010022","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"dphr3kofqso248312316","2019-11-15 04:11:46.000","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","198804","0010022","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"fbf5f061-0b5a-4731-9e4e-5b80a7f72ab7","2019-11-15 05:26:16.000","Dalvik/2.1.0 (Linux; U; Android 5.1.1; AFTT Build/LVY48F)","199611","0010023","北海道","01","札幌市北区","01102","1","1","false","tver-fireos","2019","11","15"
"e7100afc-76ae-4db4-a2fa-d218104ec67f","2019-11-15 03:48:01.000","Dalvik/2.1.0 (Linux; U; Android 5.1.1; AFTT Build/LVY48F)","198401","0010024","北海道","01","札幌市北区","01102","1","1","false","tver-fireos","2019","11","15"
"kkr8ugjhjog559787218","2019-11-15 04:01:07.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","192010","0010024","北海道","01","札幌市北区","01102","1","1","false","ntv-web","2019","11","15"
"61c3122d-773a-41d4-9440-f36f4d19eaa4","2019-11-15 16:37:12.000","Dalvik/2.1.0 (Linux; U; Android 9; L-01L Build/PKQ1.190302.001)","195208","0010026","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"7c7c9578-ec46-44b5-9657-ba04a7918c74","2019-11-15 08:46:41.000","Dalvik/2.1.0 (Linux; U; Android 7.1.2; AFTN Build/NS6265)","198202","0010034","北海道","01","札幌市北区","01102","1","1","false","tver-fireos","2019","11","15"
"ay98il3kid9936791533","2019-11-15 07:36:07.000","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","196407","0010035","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"273qxqd6nl7996297647","2019-11-15 01:14:44.000","Mozilla/5.0 (X11; CrOS x86_64 12607.16.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.24 Safari/537.36","196506","0010901","北海道","01","札幌市北区","01102","1","1","false","tver-web","2019","11","15"
"ec83b56d-9b89-45e4-b1e6-1dd7a80f8831","2019-11-15 08:44:08.000","Dalvik/2.1.0 (Linux; U; Android 9; SC-02L Build/PPR1.180610.011)","196812","0010903","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"18qr12ibb5r945983692","2019-11-15 10:45:36.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","197502","0010904","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"550c6434-3a3b-4822-b9f7-7ebd3f43c84c","2019-11-15 05:49:50.000","Dalvik/2.1.0 (Linux; U; Android 7.1.1; 602ZT Build/NMF26F)","198605","0010904","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"d206fc66-c7a6-49f8-a2cd-74503d647453","2019-11-15 04:41:45.000","Dalvik/2.1.0 (Linux; U; Android 9; POT-LX2J Build/HUAWEIPOT-LX2J)","198207","0010905","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"ED8D0DC4-1083-4D7B-9AF0-E25395088314","2019-11-15 21:48:34.000","Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/12.3.1","200008","0010910","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"e83p9l62zy8561134759","2019-11-15 04:01:12.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","198507","0010911","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"BF0D96D5-2DC1-420A-B6B9-51BF43B460BF","2019-11-15 05:48:14.000","Mozilla/5.0 (iPad; CPU OS 13_2_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/13.2.2","197108","0010923","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"817f8686-28c9-4542-a380-113368973d9d","2019-11-15 14:03:51.000","Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 4K UR2 Build/OPR2.170623.027.S63)","196806","0010926","北海道","01","札幌市北区","01102","1","2","false","tver-androidtv","2019","11","15"
"64976e09-dfde-40a1-8fe3-c45330a5a1b0","2019-11-15 19:10:06.000","Dalvik/2.1.0 (Linux; U; Android 9; SC-04L Build/PPR1.180610.011)","196302","0010931","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"3i4iqvdsnv7339991345","2019-11-15 03:55:43.000","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","195503","0010932","北海道","01","札幌市北区","01102","1","1","false","ex-web","2019","11","15"
"e1oxwbeel9w634916758","2019-11-15 03:53:40.000","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","195503","0010932","北海道","01","札幌市北区","01102","1","1","false","ex-web","2019","11","15"
"94DCAE3D-2697-47DB-BB6F-B467BF253EA8","2019-11-15 06:52:51.000","Mozilla/5.0 (iPhone; CPU iPhone OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/13.2","200211","0020858","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"73010ffd-6483-467e-aed2-7c050b521b93","2019-11-15 09:34:43.000","Dalvik/2.1.0 (Linux; U; Android 9; SO-01K Build/47.2.B.5.38)","198305","0020865","北海道","01","札幌市北区","01102","1","1","false","tver-android","2019","11","15"
"1dbbe66c-d798-4288-ade6-6d3b76c61d0c","2019-11-15 01:21:23.000","Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 4K UR2 Build/OPR2.170623.027.S63)","196112","0028021","北海道","01","札幌市北区","01102","1","2","false","tver-androidtv","2019","11","15"
"m6vav2sffi0328184718","2019-11-15 22:31:18.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","199406","0028027","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"omyxp8d1up5243751362","2019-11-15 07:05:35.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","200203","0028062","北海道","01","札幌市北区","01102","1","1","false","ytv-web","2019","11","15"
"goy4gi4jml0224819339","2019-11-15 07:30:16.000","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","199203","0028068","北海道","01","札幌市北区","01102","1","1","false","cx-web","2019","11","15"
"62D534E5-B38D-47A6-9478-CB805858AEDF","2019-11-15 07:14:07.000","Mozilla/5.0 (iPhone; CPU iPhone OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 TVer/4.6.0 iOS/13.2","199909","0028073","北海道","01","札幌市北区","01102","1","1","false","tver-ios","2019","11","15"
"95bda0b5-bc78-4558-b808-efc281e4d201","2019-11-15 05:34:27.000","Dalvik/2.1.0 (Linux; U; Android 8.0.0; SO-03K Build/51.1.B.8.4)","199010","0030001","北海道","01","札幌市白石区","01104","1","1","false","tver-android","2019","11","15"
"pujzh9k8mvg824413124","2019-11-15 03:19:10.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","198601","0030001","北海道","01","札幌市白石区","01104","1","1","false","cx-web","2019","11","15"
"5fcc7e40-70af-4d11-81ba-299f14e44c1d","2019-11-15 09:08:21.000","Dalvik/2.1.0 (Linux; U; Android 9; X2-HT Build/PPR1.180610.011)","198511","0030004","北海道","01","札幌市白石区","01104","1","1","false","tver-android","2019","11","15"
"c1qt8sqstcg617416931","2019-11-15 20:51:31.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","196312","0030004","北海道","01","札幌市白石区","01104","1","1","false","cx-web","2019","11","15"
"jnz7tkdgnf8235626345","2019-11-15 07:09:34.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","198302","0030005","北海道","01","札幌市白石区","01104","1","1","false","ytv-web","2019","11","15"
"34d4cf34-4e7f-4562-80ce-1e4d93af1ca0","2019-11-15 08:43:21.000","Dalvik/2.1.0 (Linux; U; Android 9; 704HW Build/HUAWEI704HW)","197710","0030006","北海道","01","札幌市白石区","01104","1","1","false","tver-android","2019","11","15"
"c1in7lbhqy0717815471","2019-11-15 06:32:46.000","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36","197304","0030006","北海道","01","札幌市白石区","01104","1","1","false","cx-web","2019","11","15"
"h9ldppwikg8622963194","2019-11-15 18:22:19.000","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","194905","0030021","北海道","01","札幌市白石区","01104","1","1","false","tver-web","2019","11","15"
